Raport z dzialanosci programu:
Program rozpoczal swe dzialanie 26.12.2019 o godzinie 15:44:22:776.
Program zakonczyl dzialanie o 26.12.2019 o godzinie 15:44:22:846.
Program dzialal przez 0 godzin, 0 minut, 0 sekund, 70 milisekund.

Wybrano kontener map z biblioteki STL 
jako strukture do przechowywania danych.

W pliku pan-tadeusz.txt znaleziono 69053 slow, w tym  18795 roznych slow.

Ponizej znajduje sie wykaz slow uzytych w wczytanym tekscie oraz ilosc wystapien danego slowa w tym pliku:

 ______________________________________________________________________________________ 
|slowa, ktore znajduja sie we wczytanym tekscie|liczba wystapien danego slowa w tekscie|
|blednieje_____________________________________|1______________________________________|
|blemas~~w_____________________________________|1______________________________________|
|bliscy________________________________________|1______________________________________|
|bliska________________________________________|7______________________________________|
|bliski________________________________________|2______________________________________|
|bliskie_______________________________________|1______________________________________|
|bliskiej______________________________________|2______________________________________|
|bliskim_______________________________________|2______________________________________|
|blisko________________________________________|18_____________________________________|
|blisko~~~~____________________________________|1______________________________________|
|blisk~~_______________________________________|1______________________________________|
|blizny________________________________________|1______________________________________|
|blizn~~_______________________________________|1______________________________________|
|bli~~ej_______________________________________|4______________________________________|
|bli~~ni~~ta___________________________________|1______________________________________|
|bli~~szej_____________________________________|1______________________________________|
|bli~~szy______________________________________|2______________________________________|
|bli~~~~j______________________________________|1______________________________________|
|blondyni______________________________________|1______________________________________|
|blondyny______________________________________|1______________________________________|
|blondyn~~~____________________________________|1______________________________________|
|bluszcz_______________________________________|1______________________________________|
|bn____________________________________________|1______________________________________|
|bo____________________________________________|196____________________________________|
|boa___________________________________________|1______________________________________|
|bobak_________________________________________|1______________________________________|
|bocian________________________________________|2______________________________________|
|bocianie______________________________________|1______________________________________|
|boczne________________________________________|1______________________________________|
|bodzie________________________________________|1______________________________________|
|bod~~_________________________________________|1______________________________________|
|bod~~cem______________________________________|1______________________________________|
|bod~~y________________________________________|1______________________________________|
|boga__________________________________________|10_____________________________________|
|bogaci________________________________________|1______________________________________|
|bogactw_______________________________________|2______________________________________|
|bogacz________________________________________|3______________________________________|
|bogacza_______________________________________|1______________________________________|
|bogac~~_______________________________________|1______________________________________|
|bogarodzicy___________________________________|1______________________________________|
|bogata________________________________________|4______________________________________|
|bogate________________________________________|2______________________________________|
|bogatsz~~_____________________________________|1______________________________________|
|bogaty________________________________________|4______________________________________|
|bogat~~_______________________________________|1______________________________________|
|bogdaj________________________________________|1______________________________________|
|bogi__________________________________________|1______________________________________|
|bogiem________________________________________|2______________________________________|
|bogiem~~______________________________________|1______________________________________|
|bogini________________________________________|1______________________________________|
|boginie_______________________________________|1______________________________________|
|bogu__________________________________________|8______________________________________|
