Raport z dzialanosci programu:
Program rozpoczal swe dzialanie 26.12.2019 o godzinie 15:49:19:29.
Program zakonczyl dzialanie o 26.12.2019 o godzinie 15:49:19:154.
Program dzialal przez 0 godzin, 0 minut, 0 sekund, 125 milisekund.

Wybrano kontener map z biblioteki STL 
jako strukture do przechowywania danych.

W pliku ziemia-obiecana.txt znaleziono 179358 slow, w tym  28742 roznych slow.

Ponizej znajduje sie wykaz slow uzytych w wczytanym tekscie oraz ilosc wystapien danego slowa w tym pliku:

 ______________________________________________________________________________________ 
|slowa, ktore znajduja sie we wczytanym tekscie|liczba wystapien danego slowa w tekscie|
|bankructwach__________________________________|3______________________________________|
|bankructwami__________________________________|1______________________________________|
|bankructwem___________________________________|2______________________________________|
|bankructwie___________________________________|2______________________________________|
|bankrut_______________________________________|1______________________________________|
|bankrutuj~~___________________________________|1______________________________________|
|banku_________________________________________|1______________________________________|
|bank~~w_______________________________________|1______________________________________|
|bano__________________________________________|1______________________________________|
|barana________________________________________|1______________________________________|
|barania_______________________________________|2______________________________________|
|baranic~~_____________________________________|1______________________________________|
|baraniej______________________________________|1______________________________________|
|baranki_______________________________________|1______________________________________|
|barankowskim__________________________________|1______________________________________|
|baran~~w______________________________________|1______________________________________|
|barbarzy~~skich_______________________________|1______________________________________|
|barbarzy~~skim________________________________|1______________________________________|
|barbarzy~~sk~~________________________________|1______________________________________|
|barbarzy~~stwo________________________________|1______________________________________|
|barchan_______________________________________|4______________________________________|
|barchanem_____________________________________|1______________________________________|
|barchanie_____________________________________|1______________________________________|
|barchanowe____________________________________|1______________________________________|
|barchanowego__________________________________|1______________________________________|
|barchanowy____________________________________|1______________________________________|
|barchanowych__________________________________|2______________________________________|
|barchanowym___________________________________|2______________________________________|
|barchany______________________________________|1______________________________________|
|barchan~~w____________________________________|1______________________________________|
|bardziej______________________________________|47_____________________________________|
|bardzo________________________________________|548____________________________________|
|bardzo~~~_____________________________________|9______________________________________|
|bares_________________________________________|2______________________________________|
|baresgeld_____________________________________|1______________________________________|
|barierki______________________________________|1______________________________________|
|barocco_______________________________________|2______________________________________|
|barokowa______________________________________|1______________________________________|
|baron_________________________________________|5______________________________________|
|barona________________________________________|1______________________________________|
|baronowej_____________________________________|3______________________________________|
|baronowi______________________________________|1______________________________________|
|baro~~stwa____________________________________|1______________________________________|
|barrasom______________________________________|1______________________________________|
